,zipcode,FIPS,gentrification_score
124,33467,12,0.5889587508621849
125,31907,13,-0.4853623420252774
126,29730,45,1.3161352827559027
127,33157,12,-0.07506337020792604
128,29223,45,-0.4637032299328422
129,28601,37,0.6756730501054512
130,32792,12,2.379039553601382
131,31419,13,0.7770407094476633
132,29445,45,-0.10278949240384166
133,27284,37,1.8665172621388266
134,70726,22,2.1552111081837957
135,30909,13,2.180306754447629
136,30004,13,2.3696389132718148
137,75002,48,
138,30906,13,-0.42968200780997423
139,31088,13,1.054224086279208
140,32608,12,2.036920375256273
141,33511,12,1.0694661656164237
142,21224,24,1.9453689637339209
143,33458,12,2.706666723992111
144,34787,12,2.1668094679390166
145,32246,12,0.08110880054915105
146,29485,45,0.6320308927391907
147,33414,12,1.1948012782755193
148,27705,37,0.8748468957618634
149,37167,47,0.7008657680898186
150,21061,24,0.7815437326265439
151,74133,40,1.0507231085225517
152,32303,12,1.6425642063974164
153,20852,24,0.4320871030052177
154,30066,13,2.5489361207859234
155,79924,48,1.9398385913426273
156,30253,13,0.6674985439382197
157,28210,37,1.6522009948361576
158,38655,28,-1.0672404518558365
159,28215,37,0.1776971678347679
160,75035,48,
161,70072,22,1.0303983186275036
162,72712,5,2.646571513852331
163,33433,12,1.0175581694593365
164,28655,37,0.9071095275252503
165,78758,48,0.7943057924366193
166,33015,12,-0.7270256508843569
167,78759,48,1.1544142804016364
168,28216,37,0.21531701107064008
169,38305,47,1.9893189989179378
170,23322,51,0.40990435743818415
171,37027,47,1.7307970703816264
172,78741,48,0.845130993447122
173,32765,12,1.3175634525238427
174,37421,47,0.5743632493264073
175,28205,37,1.5281309674307475
176,20904,24,1.6971865901916474
177,30067,13,1.5436810237400298
178,42701,21,1.3277252197618141
179,30047,13,-0.19150987384116783
180,30263,13,1.0354814462053619
181,78251,48,0.6693095908649703
182,23455,51,4.365711155969983
183,30058,13,0.7367290961797257
184,28227,37,0.3109296212431835
185,29681,45,1.6141929878305863
186,41042,21,0.8166618599199347
187,30101,13,1.9925728404239262
188,37064,47,2.3186078565877195
189,33436,12,0.656128407357885
190,27265,37,0.7653983826541545
191,33324,12,1.0717178163182193
192,37040,47,1.1016012171057592
193,33021,12,0.8874580730911705
194,27407,37,0.6844842525855378
195,37122,47,0.9600283511455393
196,77070,48,-0.08761650565048501
197,27703,37,1.0750237278429662
198,78753,48,0.6002490350213519
199,33463,12,-0.04421941477682184
200,78664,48,0.6728710839819959
201,33308,12,0.2175887566786707
202,32825,12,0.17814300285009665
203,34668,12,0.7051433519134906
204,78209,48,1.3678647524401204
205,33141,12,1.6644772441529578
206,20910,24,0.6162892129779637
207,28540,37,0.7498252811127469
208,22192,51,-0.005177279757285288
209,27106,37,0.021241426349248808
210,37066,47,0.9947920277454448
211,32771,12,1.594928091330665
212,30075,13,2.1290493866287905
213,70065,22,0.7459704357594669
214,22201,51,1.3530859282079735
215,33023,12,0.6419489586525909
216,78641,48,2.140900732229646
217,37129,47,0.6864261137037839
218,72034,5,0.049316571138472626
219,19702,10,24.017542598317647
220,30144,13,1.0626546287830634
221,21218,24,0.9198614971879248
222,37128,47,0.978724782258094
223,32839,12,0.4247858440904506
224,30907,13,0.6538210889834221
225,19711,10,12.865051405564715
226,76051,48,
227,34293,12,1.2127530923159835
228,75204,48,
229,27519,37,0.7216971580701885
230,70816,22,0.0980772420791748
231,33312,12,1.2140239329636244
232,77373,48,-0.06301602066148387
233,39759,28,1.0
234,22407,51,0.2674026358221462
235,34748,12,0.755452258887155
236,73013,40,1.146493309768276
237,34698,12,-0.3119870756256577
238,33437,12,1.5584237386303685
239,78520,48,0.8337853771432536
240,21206,24,0.45622292973042883
241,75093,48,
242,28025,37,0.20534613571442697
243,75115,48,
244,22003,51,0.5955030813360415
245,34997,12,-0.026391791939772476
246,76179,48,
247,27603,37,0.9969866028011338
248,23456,51,3.242791874499391
249,22030,51,1.609631731106261
250,70119,22,1.5511241519198717
251,32137,12,3.7705818093313628
252,36695,1,-0.1676234394864223
253,38016,47,0.6361071384430694
254,34952,12,0.8677179654114076
255,23225,51,0.6455201607273876
256,23112,51,1.9709144099088418
257,78550,48,0.31933883573470184
258,78748,48,0.8843243867095837
259,30319,13,2.4716146771027447
260,29229,45,1.764285402796756
261,29483,45,0.7644936741019264
262,39503,28,1.5752132384733275
263,28546,37,-0.3396023795860153
264,79424,48,0.6282322048452799
265,38654,28,3.3148865522966213
266,75040,48,
267,21228,24,1.7263927047643683
268,21207,24,1.2162720602495316
269,27405,37,1.3271765623564467
270,33176,12,1.6027893332907495
271,78250,48,1.2573592284096402
272,27606,37,0.9806248834191342
273,70001,22,1.0231744770491527
274,30606,13,1.2227269215913479
275,35758,1,-0.15024380651015068
276,20744,24,1.1276149388574932
277,33065,12,0.5438622567840061
278,33614,12,0.37468483931938246
279,40214,21,0.14594743636340754
280,75025,48,
281,27613,37,1.0109104728769305
282,76133,48,
283,33418,12,2.116684713945007
284,32068,12,0.2717893844259151
285,23185,51,2.7847193977487907
286,32935,12,1.0256563046827925
287,75007,48,
288,33062,12,1.0196046878291734
289,78045,48,2.4901058444546726
290,38111,47,0.07940863157770756
291,30032,13,0.5323195935306049
292,33322,12,0.7339691953534455
293,37660,47,0.8477153175139751
294,75703,48,1.2180127560351135
295,33810,12,0.2853682601294592
296,33125,12,0.19485778478513116
297,73120,40,1.0657685860612345
298,23434,51,1.370731579512079
299,20850,24,0.23026522301594687
300,39401,28,1.0495017098743828
301,35215,1,-0.900698687448943
302,29501,45,0.31696609985176205
303,27615,37,0.30876299097377263
304,33914,12,0.7975207814282729
305,75098,48,
306,33020,12,0.8290592096090547
307,78681,48,0.9350813659737635
308,30114,13,1.9815814407295749
309,33615,12,0.4482702386245912
310,27360,37,1.5007360028952927
311,78247,48,1.324196708503002
312,27529,37,0.12747138968382707
313,37043,47,1.5063190082395654
314,75080,48,
315,23188,51,2.577469726496704
316,33612,12,0.5104423923232783
317,35405,1,1.7521851618767914
318,30236,13,1.2413412029808195
319,72764,5,0.7595175426695251
320,78258,48,-0.8845115872095237
321,34655,12,0.5045855952357208
322,78504,48,
323,23608,51,-1.5229998777332232
324,30016,13,0.898165279190513
325,22314,51,0.8986444020498913
326,29720,45,0.7103719926845345
327,34221,12,1.2906185508287809
328,33617,12,-0.39826220195390816
329,20774,24,0.30054293428185364
330,72701,5,0.10743494423791854
